listing_url,scrape_date,price,location,Emlak Tipi,m² (Brüt),m² (Net),Oda Sayısı,Bulunduğu Kat,Isıtma,1.Oda,1.Salon,2.Oda,3.Oda,Ada No,Aidat (TL),Balkon,Banyo Sayısı,Bina Yaşı,Depozito,Eşyalı,Görüntülü Arama İle Gezilebilir,Kat Sayısı,Krediye Uygun,Kullanım Durumu,Latitude,Longitude,Parsel No,Site İçerisinde,Tapu Durumu,Ticari Kullanıma Uygun,Tuvalet Sayısı,Yapının Durumu,m2 (Brüt),m2 (Net)
https://www.remax.com.tr/portfoy/P04176425,2025-05-08,33.000,Bursa / Nilüfer/ Ertuğrul Mah.,Daire,140,125,3+1,6,Yerden Isıtma,,,,,8007,1.600,Var,2,5,33.000,Hayır,,15,,Boş,40.2172649,28.9254868,1,Evet,Kat Mülkiyetli Tapu,,2,2.EL,,
https://www.remax.com.tr/portfoy/P62016147,2025-05-08,15.000,Bursa / Yıldırım/ Karaağaç Mah.,Daire,85,66,2+1,3,Doğalgaz (Kombi),,,,,645,150,Var,1,30+,15.500,Hayır,,8,,Boş,40.1778622,29.0682764,40,,Kat Mülkiyetli Tapu,Hayır,1,2.EL,,
https://www.remax.com.tr/portfoy/P87741867,2025-05-08,17.000,Bursa / Nilüfer/ Hasanağa Mah.,Daire,89,133,2+1,4,Yerden Isıtma,,,,,155,1.200,Var,1,0,17.000,Hayır,Hayır,9,,Boş,40.170353,28.793961,7,Evet,Kat Mülkiyetli Tapu,Hayır,1,Sıfır,,
https://www.remax.com.tr/portfoy/P18111802,2025-05-08,20.000,Bursa / Mudanya/ Güzelyalı Burgaz Mah.,Daire,120,80,2+1,2,Yerden Isıtma,,,,,2117,500,Var,2,3,20.000,Hayır,Hayır,2,,Boş,40.349646431112184,28.933898296234133,9,Evet,Kat İrtifaklı Tapu,Hayır,1,2.EL,,
https://www.remax.com.tr/portfoy/P17118361,2025-05-08,15.000,Bursa / Yıldırım/ Yıldırım Mah.,Daire,130,100,2+1,5,Doğalgaz (Kombi),,,,,2716,,Var,1,21-25,15.000,Hayır,Evet,7,,Boş,40.1872441,29.0809827,43,Hayır,Kat Mülkiyetli Tapu,Hayır,1,2.EL,,
https://www.remax.com.tr/portfoy/P57270048,2025-05-08,****,Bursa / Nilüfer/ İrfaniye Mah.,Daire,198,136,3+1,4,Yerden Isıtma,,,,,124,,Var,2,1,50.000,Hayır,Hayır,8,,Boş,40.237537,28.817333,3,Hayır,Kat Mülkiyetli Tapu,Hayır,2,2.EL,,
https://www.remax.com.tr/portfoy/P33223357,2025-05-08,30.000,Bursa / Osmangazi/ Çekirge Mah.,Daire,130,120,3+1,1,Doğalgaz (Kombi),,,,,4216,50,Var,1,26-30,30.000,Hayır,Evet,5,,Boş,40.2002032,29.0172259,5,Hayır,Kat İrtifaklı Tapu,Hayır,2,2.EL,,
https://www.remax.com.tr/portfoy/P80515726,2025-05-08,16.000,Bursa / Osmangazi/ Hocahasan Mah.,Daire,100,85,2+1,3,Merkezi,,,,,5295,,Var,1,30+,,Hayır,Hayır,5,,Boş,40.1924988,29.0566203,1,Hayır,Kat Mülkiyetli Tapu,Hayır,1,2.EL,,
https://www.remax.com.tr/portfoy/P22471002,2025-05-08,16.500,Bursa / Nilüfer/ İhsaniye Mah.,Daire,100,80,2+1,Giriş Katı,Doğalgaz (Kombi),"15,0 m²","28,0 m²","10,0 m²",,2061,100,Var,1,16-20,25.000,Hayır,Hayır,5,,Boş,40.2182972,28.9820543,23,Hayır,Kat İrtifaklı Tapu,Hayır,,2.EL,,
https://www.remax.com.tr/portfoy/P01458650,2025-05-08,16.500,Bursa / Osmangazi/ Hürriyet Mah.,Daire,135,120,3+1,2,Doğalgaz (Kombi),,,,,497,,Var,1,21-25,16.500,Hayır,Hayır,4,,Boş,40.219524879616,29.003414557672,4,Hayır,Kat Mülkiyetli Tapu,Hayır,1,2.EL,,
