Link,Fiyat,Konum,İlan no,Son Güncelleme,İlan Durumu,Konut Tipi,Konut Şekli,Oda Sayısı,Banyo Sayısı,Brüt Metrekare,Net Metrekare,Kat Sayısı,Bulunduğu Kat,Bina Yaşı,Isınma Tipi,Yakıt Tipi,Tapu Durumu,Eşya Durumu,Yapı Tipi,Yapının Durumu,Kullanım Durumu,Site İçerisinde,Cephe,Depozito,Aidat,Yetkili Ofis
https://www.hepsiemlak.com/bursa-yildirim-yesil-kiralik/daire/140661-440,12.000 TL,Bursa Yıldırım Yeşil Mah.,140661-440,09-05-2025,Kiralık,Daire,Daire,2 + 1,1,852 m2,802 m2,3 Katlı,1. Kat,20 Yaşında,Kombi,Doğalgaz,Hisseli Tapu,Eşyalı Değil,Betonarme,İkinci El,Boş,,Güney,12.000 TL,100 TL,Evet
https://www.hepsiemlak.com/bursa-nilufer-dumlupinar-kiralik/daire/113442-331,15.000 TL,Bursa Nilüfer Dumlupınar Mah.,113442-331,21-05-2025,Kiralık,Daire,Daire,2 + 1,1,602 m2,552 m2,5 Katlı,1. Kat,2 Yaşında,Kombi,Doğalgaz,Kat Mülkiyeti,Eşyalı,Betonarme,İkinci El,Boş,,"Güney, Doğu",16.500 TL,650 TL,Evet
https://www.hepsiemlak.com/bursa-nilufer-ertugrul-kiralik/daire/56377-3478,23.000 TL,Bursa Nilüfer Ertuğrul Mah.,56377-3478,05-04-2025,Kiralık,Daire,Daire,1 + 1,1,782 m2,602 m2,6 Katlı,Bahçe Katı,4 Yaşında,Kombi,Doğalgaz,Kat Mülkiyeti,Eşyalı Değil,,İkinci El,Boş,Evet,,,,Evet
https://www.hepsiemlak.com/bursa-osmangazi-haci-ilyas-kiralik/daire/0-44362984,15.000 TL,Bursa Osmangazi Hacı İlyas Mah.,0-44362984,21-03-2025,Kiralık,Daire,Daire,1 + 1,1,502 m2,402 m2,5 Katlı,3. Kat,25 Yaşında,Merkezi,Doğalgaz,Kat Mülkiyeti,Eşyalı,Betonarme,Sıfır,Boş,,,15.000 TL,,
https://www.hepsiemlak.com/bursa-nilufer-dumlupinar-kiralik/daire/0-44194152,13.500 TL,Bursa Nilüfer Dumlupınar Mah.,0-44194152,31-03-2025,Kiralık,Daire,Daire,2 + 1,1,702 m2,602 m2,4 Katlı,2. Kat,15 Yaşında,Kombi,Doğalgaz,Kat Mülkiyeti,Eşyalı,Betonarme,İkinci El,Boş,,"Güney, Doğu",14.000 TL,450 TL,
https://www.hepsiemlak.com/bursa-osmangazi-soganli-kiralik/daire/90539-242,32.000 TL,Bursa Osmangazi Soğanlı Mah.,90539-242,06-05-2025,Kiralık,Daire,Daire,2 + 1,1,1152 m2,1052 m2,5 Katlı,2. Kat,10 Yaşında,Kombi,Doğalgaz,Kat Mülkiyeti,Eşyalı Değil,Betonarme,İkinci El,Boş,Botanik Bostancıkent 5 Sitesi,"Kuzey, Güney",33.000 TL,1.530 TL,Evet
https://www.hepsiemlak.com/bursa-gemlik-yeni-kiralik/daire/135581-457,17.000 TL,Bursa Gemlik Yeni Mah.,135581-457,06-05-2025,Kiralık,Daire,Daire,2 + 1,2,1002 m2,952 m2,6 Katlı,5. Kat,5 Yaşında,Kombi,Doğalgaz,Kat İrtifakı,Eşyalı Değil,Betonarme,İkinci El,Mülk Sahibi,,"Kuzey, Güney",17.000 TL,,Evet
https://www.hepsiemlak.com/bursa-nilufer-dumlupinar-kiralik/daire/146454-43,15.000 TL,Bursa Nilüfer Dumlupınar Mah.,146454-43,15-04-2025,Kiralık,Daire,Daire,2 + 1,1,902 m2,782 m2,5 Katlı,1. Kat,13 Yaşında,Kombi,Doğalgaz,Kat Mülkiyeti,Eşyalı Değil,Betonarme,İkinci El,Boş,,Güney,,,Evet
https://www.hepsiemlak.com/bursa-gemlik-osmaniye-kiralik/daire/130163-324,15.000 TL,Bursa Gemlik Osmaniye Mah.,130163-324,02-05-2025,Kiralık,Daire,Daire,2 + 1,1,1002 m2,902 m2,5 Katlı,En Üst Kat,35 Yaşında,Kombi,Doğalgaz,Kat İrtifakı,Eşyalı Değil,Betonarme,İkinci El,Boş,,"Güney, Doğu",15.000 TL,,Evet
https://www.hepsiemlak.com/bursa-orhangazi-camiikebir-kiralik/daire/77888-1998,16.000 TL,Bursa Orhangazi Camiikebir Mah.,77888-1998,07-05-2025,Kiralık,Daire,Daire,2 + 1,1,1002 m2,952 m2,4 Katlı,5. Kat,20 Yaşında,Kombi,Doğalgaz,Arsa,,Betonarme,İkinci El,Boş,,Kuzey,,,
